time filename action file_descriptor_flags file_status_flags file_owner file_group file_permission atime mtime ctime
2022-12-15 21:9:4 SESSION_MANAGER=local/dwoo-virtual-machine:@/tmp/.ICE-unix/5302,unix/dwoo-virtual-machine:/tmp/.ICE-unix/5302 open: w 33152 dwoo(uid:1000) dwoo(gid:1000) rw------- 1671106144 1671106144 1671106144 
2022-12-15 21:9:7 SESSION_MANAGER=local/dwoo-virtual-machine:@/tmp/.ICE-unix/5302,unix/dwoo-virtual-machine:/tmp/.ICE-unix/5302 open: r 33152 dwoo(uid:1000) dwoo(gid:1000) rw------- 1671106144 1671106147 1671106147 
2022-12-15 21:9:7 /../../../x86_64-linux-gnu/libm.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101137 1657149803 1664094777 
2022-12-15 21:9:7 /../../../x86_64-linux-gnu/libm.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101137 1657149803 1664094777 
2022-12-15 21:9:7 /libgcc_s.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101220 1651350594 1669186205 
2022-12-15 21:9:7 /libgcc_s.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101220 1651350594 1669186205 
2022-12-15 21:9:7 /../../../x86_64-linux-gnu/libc.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101137 1657149803 1664094777 
2022-12-15 21:9:7 /../../../x86_64-linux-gnu/libc.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101137 1657149803 1664094777 
2022-12-15 21:9:7 /libgcc_s.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101220 1651350594 1669186205 
2022-12-15 21:9:7 /libgcc_s.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101220 1651350594 1669186205 
2022-12-15 21:9:8 /home/dwoo/Desktop/bob-project/file_log/test.txt  write: HI 33188 dwoo(uid:1000) dwoo(gid:1000) rw-r--r-- 1671101632 1671106148 1671106148 
