signal_deliver 31
Xwaylan | 1699 | 0 | d | N | h | . | . | 16846.676999 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
gnome-shel | 1383 | 0 | d | . | h | . | . | 16846.684983 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
Chrome_ChildIO | 3915 | 1 | d | . | h | . | . | 16847.658425 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
gnome-shel | 1383 | 1 | d | . | h | . | . | 16847.719842 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
ca | 8213 | 1 | d | N | . | . | . | 16853.633628 |  | signal_generate | : sig=17 errno=0 code=1 comm=bash pid=8137 grp=1 res=0 
gnome-terminal | 3132 | 0 | d | . | h | . | . | 16988.070993 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
Xwaylan | 1699 | 0 | d | . | h | . | . | 16988.075709 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
Xwaylan | 1699 | 0 | d | N | h | . | . | 17024.109759 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
sys_kill 6677
cod | 3994 | 1 | . | . | . | . | . | 16230.881365 |  | sys_kill | (pid: f48, sig: 0) 
cpptools-sr | 8068 | 1 | . | . | . | . | . | 16230.882311 |  | sys_kill | (pid: fe4, sig: 0) 
cod | 3965 | 0 | . | . | . | . | . | 16230.907217 |  | sys_kill | (pid: f48, sig: 0) 
cod | 4006 | 0 | . | . | . | . | . | 16230.920731 |  | sys_kill | (pid: f71, sig: 0) 
cod | 6179 | 0 | . | . | . | . | . | 16231.465614 |  | sys_kill | (pid: f7d, sig: 0) 
cod | 3994 | 1 | . | . | . | . | . | 16231.882754 |  | sys_kill | (pid: f48, sig: 0) 
cpptools-sr | 8068 | 1 | . | . | . | . | . | 16231.883020 |  | sys_kill | (pid: fe4, sig: 0) 
cod | 3965 | 0 | . | . | . | . | . | 16231.909884 |  | sys_kill | (pid: f48, sig: 0) 
cod | 3977 | 0 | . | . | . | . | . | 16232.131151 |  | sys_kill | (pid: f71, sig: 0) 
cod | 3994 | 1 | . | . | . | . | . | 16232.883782 |  | sys_kill | (pid: f48, sig: 0) 
cpptools-sr | 8068 | 1 | . | . | . | . | . | 16232.884043 |  | sys_kill | (pid: fe4, sig: 0) 
cod | 3965 | 0 | . | . | . | . | . | 16232.913324 |  | sys_kill | (pid: f48, sig: 0) 
cod | 3994 | 1 | . | . | . | . | . | 16233.885373 |  | sys_kill | (pid: f48, sig: 0) 
cpptools-sr | 8068 | 1 | . | . | . | . | . | 16233.885637 |  | sys_kill | (pid: fe4, sig: 0) 
cod | 3965 | 0 | . | . | . | . | . | 16233.915162 |  | sys_kill | (pid: f48, sig: 0) 
cod | 6179 | 0 | . | . | . | . | . | 16234.465463 |  | sys_kill | (pid: f7d, sig: 0) 
cod | 3994 | 1 | . | . | . | . | . | 16234.886509 |  | sys_kill | (pid: f48, sig: 0) 
cpptools-sr | 8068 | 1 | . | . | . | . | . | 16234.886814 |  | sys_kill | (pid: fe4, sig: 0) 
cod | 3965 | 0 | . | . | . | . | . | 16234.917301 |  | sys_kill | (pid: f48, sig: 0) 
cod | 3994 | 1 | . | . | . | . | . | 16235.887603 |  | sys_kill | (pid: f48, sig: 0) 
cpptools-sr | 8068 | 1 | . | . | . | . | . | 16235.887869 |  | sys_kill | (pid: fe4, sig: 0) 
cod | 3965 | 0 | . | . | . | . | . | 16235.920146 |  | sys_kill | (pid: f48, sig: 0) 
cod | 4006 | 0 | . | . | . | . | . | 16235.925441 |  | sys_kill | (pid: f71, sig: 0) 
cod | 3994 | 1 | . | . | . | . | . | 16236.890395 |  | sys_kill | (pid: f48, sig: 0) 
cpptools-sr | 8068 | 0 | . | . | . | . | . | 16236.890494 |  | sys_kill | (pid: fe4, sig: 0) 
cod | 3965 | 0 | . | . | . | . | . | 16236.925595 |  | sys_kill | (pid: f48, sig: 0) 
cod | 3977 | 0 | . | . | . | . | . | 16237.137080 |  | sys_kill | (pid: f71, sig: 0) 
cod | 6179 | 0 | . | . | . | . | . | 16237.469724 |  | sys_kill | (pid: f7d, sig: 0) 
cod | 3994 | 1 | . | . | . | . | . | 16237.891544 |  | sys_kill | (pid: f48, sig: 0) 
cpptools-sr | 8068 | 0 | . | . | . | . | . | 16237.891633 |  | sys_kill | (pid: fe4, sig: 0) 
cod | 3965 | 0 | . | . | . | . | . | 16237.927363 |  | sys_kill | (pid: f48, sig: 0) 
cpptools-sr | 8068 | 0 | . | . | . | . | . | 16239.265218 |  | sys_kill | (pid: fe4, sig: 0) 
cod | 3994 | 1 | . | . | . | . | . | 16239.265244 |  | sys_kill | (pid: f48, sig: 0) 
cod | 3965 | 0 | . | . | . | . | . | 16239.265872 |  | sys_kill | (pid: f48, sig: 0) 
cod | 3994 | 1 | . | . | . | . | . | 16240.265989 |  | sys_kill | (pid: f48, sig: 0) 
cpptools-sr | 8068 | 0 | . | . | . | . | . | 16240.266599 |  | sys_kill | (pid: fe4, sig: 0) 
cod | 3965 | 0 | . | . | . | . | . | 16240.268764 |  | sys_kill | (pid: f48, sig: 0) 
